"Source:","C:\Customers\Dustin\SensorNodes\STM32\EE\Nucleo_L152RE\ProtoBoard\AA\ProtoBoard.sch"
"Date:","4/6/2015 9:12:12 PM"
"Tool:","Eeschema (2015-03-26 BZR 5542)-product"
"Generator:","dustin_bom_csv_grouped_by_value_with_fp.py"
"Component Count:","115"
"Ref","Quantity","Value","Cmp name","Footprint","Description","Vendor","Datasheet","Digikey Part Number","Digikey URL","Mouser Part Number","Mouser URL","Ebay"
"P7, ","1","I2C1_A","CONN_01X04","Pin_Headers:Pin_Header_Straight_1x04","","","","","","","",""
"P8, ","1","I2C2_A","CONN_01X04","Pin_Headers:Pin_Header_Straight_1x04","","","","","","","",""
"P9, ","1","OW1_A","CONN_01X03","Pin_Headers:Pin_Header_Straight_1x03","","","","","","","",""
"Q1, ","1","SI2323DS","Q_PMOS_GSD","nucleo:TO-236","Transistor P-MOSFET (general)","","http://www.vishay.com/docs/72024/72024.pdf","SI2323DS-T1-E3CT-ND","","","",""
"R1, ","1","10K","R_Small","Resistors_SMD:R_0603_HandSoldering","Resistor","","","P10KGCT-ND","http://www.digikey.com/product-detail/en/ERJ-3GEYJ103V/P10KGCT-ND/134717","","",""
"R14, R16, ","2","100k","R_Small","Resistors_SMD:R_0603_HandSoldering","Resistor","","","RMCF0603FT100KTR-ND","http://www.digikey.com/product-detail/en/RMCF0603FT100K/RMCF0603FT100KTR-ND","","",""
"R2, ","1","2.20k 1%","R_Small","Resistors_SMD:R_0603_HandSoldering","Resistor","","","P2.20KHCT-ND","","","",""
"R20, R18, R17, R19, ","4","2.2k","R_Small","Resistors_SMD:R_0603_HandSoldering","Resistor","","","P2.2KGCT-ND","","","",""
"R21, R15, R39, ","3","10k","R_Small","Resistors_SMD:R_0603_HandSoldering","Resistor","","","P10KGCT-ND","http://www.digikey.com/product-detail/en/ERJ-3GEYJ103V/P10KGCT-ND/134717","","",""
"R22, ","1","4.7K","R_Small","Resistors_SMD:R_0603_HandSoldering","Resistor","","","P4.7KGCT-ND","http://www.digikey.com/product-detail/en/ERJ-3GEYJ472V/P4.7KGCT-ND/135199","","",""
"R23, ","1","2.2K","R_Small","Resistors_SMD:R_0603_HandSoldering","Resistor","","","P2.2KGCT-ND","","","",""
"R24, ","1","680","R_Small","Resistors_SMD:R_0603_HandSoldering","Resistor","","","P680GCT-ND","","","",""
"R25, ","1","390","R_Small","Resistors_SMD:R_0603_HandSoldering","Resistor","","","P390GCT-ND","","","",""
"R26, R27, R40, R41, ","4","4.7k","R_Small","Resistors_SMD:R_0603_HandSoldering","Resistor","","","P4.7KGCT-ND","","","",""
"R28, R42, R43, R44, ","4","220","R_Small","Resistors_SMD:R_0603_HandSoldering","Resistor","","","P220GCT-ND","","","",""
"R3, ","1","8.66k 1%","R_Small","Resistors_SMD:R_0603_HandSoldering","Resistor","","","P8.66KHCT-ND","","","",""
"R35, R36, R38, R37, R6, R13, R11, ","7","0","R_Small","Resistors_SMD:R_0603_HandSoldering","Resistor","","","P0.0HCT-ND","","","",""
"R5, R12, ","2","33","R_Small","Resistors_SMD:R_0603_HandSoldering","Resistor","","","P33HCT-ND","","","",""
"R7, ","1","1K","R_Small","Resistors_SMD:R_0603_HandSoldering","Resistor","","","P1.0KGCT-ND","","","",""
"R8, R9, R10, ","3","1k","R_Small","Resistors_SMD:R_0603_HandSoldering","Resistor","","","P1.0KGCT-ND","","","",""
"S1, ","1","OSHW Symbol","Symbol","Symbols:Symbol_OSHW-Logo_SilkScreen","","","","","","","",""
"SW1, ","1","MomentarySwitch","MomentarySwitch","nucleo:Tact_switch","4 Pin momentary Switch","","","450-1650-ND","http://www.digikey.com/product-detail/en/1825910-6/450-1650-ND","","",""
"U2, ","1","Nucleo-L152RE-CN7","Nucleo-L152RE-CN7","Pin_Headers:Pin_Header_Straight_2x19","Nucleo-L152RE Morpho CN7 Connector","","","497-14363-ND","","","",""
"U3, ","1","Nucleo-L152RE-CN10","Nucleo-L152RE-CN10","Pin_Headers:Pin_Header_Straight_2x19","Nucleo-L152RE Morpo Connector CN10","","","","","","","40 2.54 female round header pin"
"U5, ","1","MT3329_GPS","MT3329_GPS","nucleo:MT3329","MT3329 10Hz GPS","","","","","","",""
"U6, ","1","S25FL127S","S25FL127S","nucleo:SOIC-8-FLASH","S25FL127S 128 Mbit Flash 2.7 to 3.6v","","http://www.digikey.com/product-detail/en/SI2323DS-T1-E3/SI2323DS-T1-E3CT-ND","SI2323DS-T1-E3CT-ND","http://www.digikey.com/product-detail/en/SI2323DS-T1-E3/SI2323DS-T1-E3CT-ND","","",""
"U7, ","1","RFM69HW","RFM69HW","nucleo:RFM69HW","Hope RF RFM69HW Wireless Module","","","","","","","RFM69HW 915MHz"
